move,ptimes,train_error,test_error
152000,7982.434080203825,0.0701096517659607,0.1422944290097803
152500,8008.4187232622735,0.0700019092473667,0.1426346173975616
153000,8034.403366320722,0.0698220065678469,0.1423935508355498
153500,8060.38800937917,0.0696957799809752,0.1423428654670715
154000,8086.372652437619,0.0695683593803551,0.1429342557676136
154500,8112.357295496067,0.0696307795660686,0.1431178573984652
155000,8138.341938554516,0.0694624079915229,0.1427641615737229
155500,8164.326581612964,0.0694582313517457,0.1429342480842024
156000,8190.311224671413,0.0694214554532663,0.14301423355937
156500,8216.29586772986,0.0694451107774511,0.1429083389230072
157000,8242.280510788307,0.0693194800769561,0.1429004555102437
157500,8268.265153846754,0.0693337909033289,0.1431820690631866
158000,8294.249796905204,0.0690882937851711,0.1431606689002365
158500,8320.234439963653,0.0692399634572211,0.1431764462031424
159000,8346.2190830221,0.0692314181796973,0.1433972169179469
159500,8372.20372608055,0.0691918599841301,0.1438263999298215
160000,8398.188369138998,0.0689421822244185,0.1433600520249456
160500,8424.173012197447,0.0685847693312098,0.1431403870228678
161000,8450.157655255894,0.0686229359271237,0.1433836997020989
161500,8476.142298314344,0.0685436189742176,0.1435414110310375
162000,8502.126941372791,0.068481997026538,0.1434659378137439
162500,8528.11158443124,0.0684422411213745,0.1437137587927281
163000,8554.096227489688,0.0684448243919177,0.1433848314918577
163500,8580.080870548138,0.0684879610707867,0.1438095027115196
164000,8606.065513606585,0.0684233541687717,0.1437666949350386
164500,8632.050156665035,0.0681665245210751,0.1438117553479969
165000,8658.034799723482,0.0681895847446867,0.1438038656488061
165500,8684.019442781932,0.0681955458567245,0.143795985262841
166000,8710.004085840379,0.0681679156114114,0.1438218913972377
166500,8735.988728898828,0.0682064803258981,0.143825271166861
167000,8761.973371957276,0.068092178509687,0.1439108857885003
167500,8787.958015015725,0.0679665456191287,0.1439108857885003
168000,8813.942658074173,0.0678033434378448,0.1440911088138818
168500,8839.927301132622,0.0678429015752044,0.1440291649196297
169000,8865.91194419107,0.0678019510087324,0.144145185360685
169500,8891.89658724952,0.0676745315140578,0.1444887591060251
170000,8917.881230307967,0.0676878501690225,0.1442150215152651
170500,8943.865873366416,0.0676083346406812,0.1442521966528147
171000,8969.850516424864,0.0676315928940312,0.1444110297597944
171500,8995.835159483313,0.0676490863916114,0.1446216714102774
172000,9021.81980254176,0.0674081609613495,0.1446588453836739
172500,9047.80444560021,0.0672702000592835,0.1445281750056892
